concurso,data,n1,n2,n3,n4,n5
5985,23/07/2025,478,33331,87748,47526,7899
5984,19/07/2025,67482,39426,53542,32519,28937
5983,16/07/2025,86347,16944,19360,48892,48406
5982,12/07/2025,41029,48135,21547,61500,64874
5981,09/07/2025,47741,39491,14417,76974,68073
5980,05/07/2025,53606,30931,69343,70261,65356
5979,02/07/2025,91955,14592,4774,78174,84641
5978,28/06/2025,59190,51005,53612,29698,95738
5977,25/06/2025,24947,10444,43252,50622,91350
5976,21/06/2025,17232,53315,51114,39824,74203
5975,18/06/2025,53681,19955,39405,47487,58137
5974,14/06/2025,46458,48926,19461,77515,78757
5973,11/06/2025,58062,29669,54447,64563,36336
5972,07/06/2025,53920,12930,58360,83005,50598
5971,04/06/2025,32119,14438,50524,51693,53281
5970,31/05/2025,9906,19434,90582,46358,28866
5969,28/05/2025,5836,52929,51524,61830,34863
5968,24/05/2025,23973,02,9871,85464,46832
5967,21/05/2025,16002,79654,18057,72187,6499
5966,17/05/2025,21652,11874,73320,10102,5565
5965,14/05/2025,22331,24928,30161,24195,5858
5964,10/05/2025,84786,18267,16578,64659,24249
5963,07/05/2025,56984,30768,91921,75494,23194
5962,03/05/2025,4071,36290,38508,86464,23431
5961,30/04/2025,58396,16875,50586,1073,85532
5960,26/04/2025,24668,54231,34530,37442,59138
5959,23/04/2025,4238,36437,14757,50648,67941
5958,16/04/2025,43165,28091,81771,82148,86802
5957,12/04/2025,74832,53056,14904,85642,66307
5956,09/04/2025,25695,61828,1849,27308,10608
5955,05/04/2025,60469,11298,10581,87791,27698
5954,02/04/2025,84974,33955,89343,72197,5635
5953,29/03/2025,82491,25420,19411,45178,36016
5952,26/03/2025,49636,21768,1556,49601,5688
5951,22/03/2025,75802,36657,39992,44698,71704
5950,19/03/2025,54838,26164,38,77578,34218
5949,15/03/2025,44336,6821,2505,83264,84525
5948,12/03/2025,86809,19281,85840,86707,73739
5947,08/03/2025,77063,8026,17859,84765,67437
5946,01/03/2025,78324,42428,1791,48118,71825
5945,26/02/2025,60946,5428,92121,27855,41016
5944,22/02/2025,74468,69903,53635,63088,22525
5943,19/02/2025,84978,61421,73038,80508,42959
5942,15/02/2025,31855,40675,69464,82746,58172
5941,12/02/2025,85656,93866,28853,65970,22608

5940,08/02/2025,24208,96673,33492,80951,22636
5939,05/02/2025,45466,96665,31879,68639,30952
5938,01/02/2025,67579,10766,13423,89580,13753
5937,29/01/2025,67063,63571,57379,25506,92032
5936,25/01/2025,91356,20006,11041,24264,2142
5935,22/01/2025,78642,10232,26612,18122,45988
5934,18/01/2025,25472,5939,36023,51350,26120
